Test Plan Run Key,Test Plan Run Name,Test Case Result Key,Test Suite Name,Test Suite Key,Test Suite Description,Test Case Name,Test Case Key,Test Case Estimate,Test Case Result Status,Step Key,Step Description,Step Expected Result,Step Sequence,Step Result Status,Step Result Elapsed,Step Result Reason for Status
2,Initial Experiment Management,2,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Fetch Saved Experiments,2,,Pass,3,<p>Load App</p>,<p>Experiment Rubus fructicosus L. displayed</p>,1,Pass,0,
2,Initial Experiment Management,3,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Fetch Without Experiments,3,,Pass,4,<p>Load app</p>,<p>No experiments shown</p>,1,Pass,0,
2,Initial Experiment Management,4,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Fetch Experiment Database Error,4,,Pass,5,<p>Load app</p>,<p>Error Message &quot;Database Error&quot;</p>,1,Pass,0,
2,Initial Experiment Management,5,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",New Experiment,5,,Pass,6,<p>Load app</p>,<p>Saved Experiments shown</p>,1,Pass,0,
2,Initial Experiment Management,5,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",New Experiment,5,,Pass,7,<p>Click &quot;New Experiment&quot;</p>,<p>Dialog &quot;New Experiment&quot; Shown</p>,2,Pass,0,
2,Initial Experiment Management,5,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",New Experiment,5,,Pass,8,<p>Input experiment name &quot;Rubus fruticosus L.&quot;</p><p>Input experiment description &quot;Effect of blackberry juice (Rubus fruticosus L.) on anxiety-like behavior in Wistar rats.&quot;</p><p>Click &quot;Save&quot;</p>,<p>Experiment Saved</p><p>Message &quot;Success&quot;</p><p>Redirect to experiment view</p>,3,Pass,0,
2,Initial Experiment Management,6,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Load Experiment Data,6,,Pass,9,<p>Click on &quot;Rubus Fruticosus L.&quot; in home page</p>,"<p>Redirect to specific experiment view</p><p>Load experiment&#39;s tests, behaviors, groups and subjects</p>",1,Pass,0,
2,Initial Experiment Management,7,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Load Experiment Data Error,7,,Pass,11,<p>Select an experiment on the home page</p>,<p>Load experiment page</p><p>Display Error Message &quot;Database Error&quot;</p>,1,Pass,0,
2,Initial Experiment Management,8,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",New Test,8,,Pass,12,<p>Click on Add New Test</p>,<p>Dialog New Test displayed</p>,1,Pass,0,
2,Initial Experiment Management,8,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",New Test,8,,Pass,13,<p>Input Test Name &quot;Locomotor Activity Test&quot;</p><p>Input Test Description &quot;Test cage of 44cm x 33cm x 20cm&quot;</p><p>Input Test Duration &quot;300&quot;</p><p>Click &quot;Add Behaviors&quot;</p>,<p>Step to Behaviors Tab</p>,2,Pass,0,
2,Initial Experiment Management,8,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",New Test,8,,Pass,17,<p>Add Behavior &quot;Grooming&quot;</p><p>Add Key Binding &quot;1&quot;</p><p>Click &quot;Check&quot;</p>,<p>Added Behavior to table</p>,3,Pass,0,
2,Initial Experiment Management,8,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",New Test,8,,Pass,18,<p>Click &quot;Save&quot;</p>,<p>Test &quot;Locomotor Activity Test&quot; saved and associated to a behavior named &quot;Grooming&quot;</p><p>Success message shown</p>,4,Pass,0,
2,Initial Experiment Management,9,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Cancel New Experiment,9,,Pass,14,<p>Load app</p>,<p>Show experiments saved</p>,1,Pass,0,
2,Initial Experiment Management,9,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Cancel New Experiment,9,,Pass,15,<p>Click &quot;New Experiment&quot;</p>,<p>Dialog &quot;New Experiment&quot; Shown</p>,2,Pass,0,
2,Initial Experiment Management,9,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Cancel New Experiment,9,,Pass,16,<p>Click &quot;Cancel&quot;</p>,<p>Dialog &quot;New Experiment&quot; closed</p>,3,Pass,0,
2,Initial Experiment Management,10,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Cancel New Test,10,,Pass,19,<p>Click &quot;Add New Test&quot;</p>,<p>New Test Dialog Displayed</p>,1,Pass,0,
2,Initial Experiment Management,10,Experiment Management,2,"Tests regarding experiment, test, group, and subjects CRUDs",Cancel New Test,10,,Pass,20,<p>Click &quot;Cancel&quot;</p>,<p>New Test Dialog Closed</p>,2,Pass,0,
